user.screen_name,full_text,id
JerichoWing,I used to not like orcs but in WoW they're extremely POC/Immigrant coded so *latch*,1381452867962298369
jubilub,@BALDMISATO MKR COULD win due to KR but I think they enjoy M's frustration too much... They drag it out as long as possible,1381452831899709442
POdTrumpGroupie,@nisflores @stevesa70494131 @StewardshipAmer @JackPosobiec Who is pushing the race card here? The 2020 guy?,1381452792188010496
SJW_Hoe,And dark skin women suffer on screen if they get on screen https://t.co/TuryHNpBbf,1381452733039972352
Mahnnazz5,"@POTUS Diversity visa winners 2017-2020 denied by Muslim/African/Immigrant Bans should've been lawful permanent residents of US. A new bill like the one in 1998 will help them. Congress needs to act.
#I_Want_My_Miracle_Back 
#MuslimBan 
#NoBan
#DV2017-2020 https://t.co/5A5i1j31dA",1381452572326776832
popice419,@_angel0nearth -person wey no get nigger,1381452439350546433
dan81728105,Said I was a bad kid from day 1 for wanting to make $ even though it was a violation of freedom of speech and it’s the American dream (immigrant family) said I was bad for smoking (it’s just a fine and you have to get caught),1381452340067188745
SJW_Hoe,Someone in my building is getting their back blown out with the window open and now we can all hear it echoing off the buildings 😩,1381452312766509058
24AheadDotCom,"@catrathustra @Kevin_Faulconer You should cheer @Kevin_Faulconer. He strongly supports Newsom's highly unpopular SJW policies. And, he strongly supports Newsom's highly unpopular vax rollout missteps.

Kev = Gav with less hair.",1381452275835543561
N1GGALBS,"I remember during bhm when I had nigger in my @ and I told non blacks not to refer to me at all ,,,, god I’m hilarious",1381452228012179458
Kimberl93935319,@luvwinsresist That was in the South...in the North it was in response to a growing immigrant population...combine the two and it says it all.,1381452227684888582
ZackaryMorales7,@tshepza_mbhele As a nigger-ally I'm here for you my nigger. https://t.co/exh2NTpbE0,1381452164283969539
RickPantera,"Just like Royal Nigger

What can you expect in a big box of crazy?
 here's a sample https://t.co/2yVcC1JNxb",1381452143467626496
jeonsecho,oh here comes the victim card.... give us all a break will you https://t.co/nuRUaT6O2t,1381452131140521985
ConsensusNaps,"⭐NAP OF THE DAY⭐

🏇 Kettle Hill (15:20 @ Redcar)

Backed by 5 tipsters

1. Marlborough - Daily Telegraph
2. Mercury - Daily Post
3. Garry Owen - Daily Record
and 2 more

📌 8/11 Best Odds

See all tipsters, racecard &amp; odds table at:
https://t.co/UIvi8zNE45",1381452016870899712
dan81728105,Dead serious this place stereotyped me found an innocent immigrant family to make an example out of and thought they were stupid enough to be taken advantage of they try giving me a harder sentence for being a dual citizen of enemy country,1381451863493578752
clary_ebooks,[22:47:21] Sjw receives loot: [Death Grips].,1381451728134959106
DonnellMaclean,@davidhogg111 Based off everything you have done thus far to draw attention...You won't stop being a loser just because you play the victim card.,1381451726222426115
mthsr1,"@GregAbbott_TX was awfully quiet during the #FormerGuy regime while immigrants of all ages were being abused &amp; the #FormerGuy lost 500 immigrant children after he forcefully separated them from their families. 

I wonder what’s changed.

https://t.co/IpG5YthlBT",1381451575294636036
navamavandadi,"okay but does ur immigrant dad call his thumb, a thump 😏",1381451512249905155
bulltardo,$MKR is gonna pump so hard that @DegenSpartan comes back,1381451478892572673
donkiyeti,"while some might be misguided &amp; are maybe worth spending labor &amp; time to try to inform- the vast majority are trolls tryna provoke a reaction they can label as 'woke, feminazi, etc' just to dismiss while being blatantly anti womxn &amp; queerphobic.",1381451471577751552
yekurilidge,Being an immigrant kid in 2021 is thinking your mom called to check up on you but actually she just wants you to fill out her weekly unemployment form,1381451414011002880
enormoussatan,"NIGGERS FUCKING LUCK OUT BY THAT SHIT BEING A FUCKING PINK FUCKING SYCOPHANT AND OCTAROON DISGRACE! nigger tried celebrating an observatory by shiving its fucking face in the ground. hey yo, idn't that fucking CUTE and IRONIC!?",1381451343408300033
atrjxo_,Who keeps giving yt ppl the okay to say “nigger” in movies? https://t.co/zeqhCejAqs,1381451128437624834
broskeeve,ur a white washed nigger i could care less lmao,1381451112629297152
rehrebirth,nigger https://t.co/G9Jllpt3Za,1381451102516699136
AzeemShakur,"@MrChuckD @SleeperSlim Naw Nigger gets that heat too, we allow nigga to stick though. F word was easy to get up out of there because both white and black people were being called that. When comes to the N word we all know the deal. If yt folks were being affected directly by it, it would be no more!",1381450977832800256
Billsfan1991DMP,"@jongraywb They claim its ""being infected by wokeness"".
Yeah anybody who uses woke, SJW, or any of their other favorite buzzwords at this point I dont take them seriously at this point.",1381450954986319878
wendyck,@mkr_ultra and here is an actual feathered birb friend from a recent walk: https://t.co/YcgiTJSa7Y,1381450918839742465
